City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,San Patricio,US,88.52,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
5,Gao,ML,88.54,overcast clouds,16.6362,1.637,
8,Atuona,PF,77.77,clear sky,-9.8,-139.0333,Villa Enata
14,Phichit,TH,84.43,overcast clouds,16.25,100.4167,Rommakham Homestay
15,Sao Miguel Do Araguaia,BR,76.21,few clouds,-13.275,-50.1628,Hotel Executivo Palace
16,Jagatsinghapur,IN,79.16,overcast clouds,20.2667,86.1667,Arun Beura & Bros..
18,Rikitea,PF,75.61,broken clouds,-23.1203,-134.9692,People ThankYou
22,Nalut,LY,78.6,clear sky,30.3333,10.85,
24,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
25,Qui Nhon,VN,82.63,overcast clouds,13.7667,109.2333,Seagull Hotel
26,Bethel,US,80.69,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
30,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
31,Kavieng,PG,83.82,light rain,-2.5744,150.7967,Nusa Island Retreat
32,Dingle,PH,83.14,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
35,Sabang,ID,80.58,overcast clouds,5.8933,95.3214,Hotel Citra
36,Togitsu,JP,84.18,few clouds,32.8333,129.85,Yasuda Ocean Hotel Togitsu
40,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
45,Taikang,CN,79.02,broken clouds,46.8333,124.4167,Jia Hotel
46,Sola,VU,79.72,clear sky,-13.8833,167.55,Leumerus Bungalows
48,Sao Filipe,CV,78.17,overcast clouds,14.8961,-24.4956,Hotel Xaguate
49,Ponta Do Sol,PT,84.83,overcast clouds,32.6667,-17.1,Hotel do Campo
51,Nicoya,CR,75.33,broken clouds,10.1483,-85.452,Las Cabinas Del Sueño
62,Plainview,US,82.26,clear sky,40.7765,-73.4673,Four Points by Sheraton Melville Long Island
65,Avera,US,83.71,overcast clouds,33.194,-82.5271,
69,Tual,ID,79.54,clear sky,-5.6667,132.75,Grand Vilia Hotel
74,Dicabisagan,PH,85.35,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
76,Yarada,IN,80.92,mist,17.65,83.2667,Yarada Jungle Beach Resorts
78,Andros Town,BS,82.36,few clouds,24.7,-77.7667,Hanks place
81,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
88,Nouadhibou,MR,82.38,clear sky,20.931,-17.0347,El Medina
91,Lugus,PH,83.89,overcast clouds,5.7036,120.8203,
92,Hami,CN,85.28,clear sky,42.8,93.45,Laoyutang Resort
93,Fukue,JP,80.96,few clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
97,Canutama,BR,78.26,clear sky,-6.5339,-64.3831,Hotel Jhennifer
99,Campoverde,PE,78.49,overcast clouds,-8.4753,-74.8058,Hospedaje Coral's
100,Aklavik,CA,75.15,overcast clouds,68.2191,-135.0107,Aklavik Inn
102,Sinnamary,GF,78.75,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
103,Lompoc,US,79.02,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
104,Katsuura,JP,80.49,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
105,Djenne,ML,84.22,overcast clouds,13.9061,-4.5533,Hôtel Chez Baba
106,San Miguelito,PA,78.55,scattered clouds,9.0333,-79.5,Sheraton Grand Panama
107,Karwar,IN,76.69,overcast clouds,14.8,74.1333,Netalco Connects
108,Nata,PA,75.65,overcast clouds,8.3333,-80.5167,Rey David
109,Hithadhoo,MV,82.65,scattered clouds,-0.6,73.0833,Scoop Guest House
110,Sokolo,ML,84.0,few clouds,14.7328,-6.1219,
115,Honiara,SB,87.26,few clouds,-9.4333,159.95,Heritage Park Hotel
118,Seoul,KR,87.37,clear sky,37.5683,126.9778,LOTTE HOTEL SEOUL
123,Pemangkat,ID,78.51,overcast clouds,1.1667,108.9667,Ramah Kost KITA
124,Kapaa,US,84.18,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
127,Cayenne,GF,83.08,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
129,Tiarei,PF,80.62,moderate rain,-17.5333,-149.3333,Le Rocher de Tahiti
130,Faanui,PF,77.77,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
132,Ewa Beach,US,87.75,broken clouds,21.3156,-158.0072,Base Lodging
