City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,San Patricio,US,28.017,-97.5169,88.52,59,51,16.22,broken clouds,2022-07-26 01:18:27
1,Geraldton,AU,-28.7667,114.6,46.81,81,10,12.66,clear sky,2022-07-26 01:14:11
2,Santiago,CL,-33.4569,-70.6483,55.29,74,75,5.75,broken clouds,2022-07-26 01:16:41
3,Sume,BR,-7.6717,-36.88,64.62,87,21,6.69,few clouds,2022-07-26 01:18:28
4,Severo-Kurilsk,RU,50.6789,156.125,54.46,80,39,10.63,scattered clouds,2022-07-26 01:14:48
5,Gao,ML,16.6362,1.637,88.54,47,100,20.45,overcast clouds,2022-07-26 01:18:28
6,Khatanga,RU,71.9667,102.5,73.74,39,0,6.33,clear sky,2022-07-26 01:18:29
7,Busselton,AU,-33.65,115.3333,61.72,77,100,19.44,moderate rain,2022-07-26 01:15:49
8,Atuona,PF,-9.8,-139.0333,77.77,66,0,10.36,clear sky,2022-07-26 01:18:29
9,Port Alfred,ZA,-33.5906,26.891,51.19,83,0,1.01,clear sky,2022-07-26 01:18:29
10,Ushuaia,AR,-54.8,-68.3,35.26,75,40,23.02,scattered clouds,2022-07-26 01:17:06
11,Cape Town,ZA,-33.9258,18.4232,58.37,70,0,4.61,clear sky,2022-07-26 01:18:30
12,Dikson,RU,73.5069,80.5464,44.15,92,100,23.58,overcast clouds,2022-07-26 01:18:30
13,Banepa,NP,27.6298,85.5214,68.32,94,75,2.3,broken clouds,2022-07-26 01:18:31
14,Phichit,TH,16.25,100.4167,84.43,72,100,3.6,overcast clouds,2022-07-26 01:18:31
15,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,76.21,38,15,3.11,few clouds,2022-07-26 01:18:32
16,Jagatsinghapur,IN,20.2667,86.1667,79.16,83,100,5.44,overcast clouds,2022-07-26 01:18:32
17,Kapuskasing,CA,49.4169,-82.4331,64.49,82,75,4.61,broken clouds,2022-07-26 01:17:59
18,Rikitea,PF,-23.1203,-134.9692,75.61,74,73,12.68,broken clouds,2022-07-26 01:17:46
19,Albany,US,42.6001,-73.9662,74.35,64,0,9.78,clear sky,2022-07-26 01:14:41
20,Horizontina,BR,-27.6258,-54.3078,63.91,83,0,4.12,clear sky,2022-07-26 01:18:33
21,Kazanskaya,RU,45.4106,40.4361,64.98,85,100,7.36,overcast clouds,2022-07-26 01:18:33
22,Nalut,LY,30.3333,10.85,78.6,24,0,9.62,clear sky,2022-07-26 01:18:34
23,Castro,BR,-24.7911,-50.0119,58.78,74,75,2.68,broken clouds,2022-07-26 01:14:03
24,Vaini,TO,-21.2,-175.2,78.96,83,20,9.22,few clouds,2022-07-26 01:18:34
25,Qui Nhon,VN,13.7667,109.2333,82.63,73,100,3.51,overcast clouds,2022-07-26 01:18:35
26,Bethel,US,41.3712,-73.414,80.69,86,0,3.44,clear sky,2022-07-26 01:18:35
27,Torbay,CA,47.6666,-52.7314,68.77,92,100,20.71,overcast clouds,2022-07-26 01:14:42
28,Basoko,CD,1.2391,23.616,71.56,95,96,2.93,overcast clouds,2022-07-26 01:18:35
29,Mataura,NZ,-46.1927,168.8643,46.47,96,100,11.07,light rain,2022-07-26 01:18:36
30,Bathsheba,BB,13.2167,-59.5167,81.21,95,40,14.97,scattered clouds,2022-07-26 01:18:36
31,Kavieng,PG,-2.5744,150.7967,83.82,74,41,16.08,light rain,2022-07-26 01:18:37
32,Dingle,PH,10.9995,122.6711,83.14,80,61,4.99,broken clouds,2022-07-26 01:18:37
33,Narsaq,GL,60.9167,-46.05,52.02,91,100,1.72,light rain,2022-07-26 01:14:16
34,San Cristobal,VE,7.7669,-72.225,73.58,97,37,2.06,scattered clouds,2022-07-26 01:18:37
35,Sabang,ID,5.8933,95.3214,80.58,79,100,12.48,overcast clouds,2022-07-26 01:18:38
36,Togitsu,JP,32.8333,129.85,84.18,70,20,4.61,few clouds,2022-07-26 01:18:38
37,Owando,CG,-0.4819,15.8999,70.47,94,97,2.44,overcast clouds,2022-07-26 01:18:38
38,Punta Arenas,CL,-53.15,-70.9167,30.31,74,20,10.36,few clouds,2022-07-26 01:18:39
39,Bluff,NZ,-46.6,168.3333,46.8,89,100,26.96,overcast clouds,2022-07-26 01:18:39
40,Georgetown,MY,5.4112,100.3354,82.33,86,20,4.61,few clouds,2022-07-26 01:18:40
41,Saskylakh,RU,71.9167,114.0833,71.85,67,92,6.91,overcast clouds,2022-07-26 01:14:11
42,Morondava,MG,-20.2833,44.2833,70.05,71,100,10.49,overcast clouds,2022-07-26 01:18:40
43,Port Hedland,AU,-20.3167,118.5667,71.65,30,6,14.97,clear sky,2022-07-26 01:17:38
44,Tiksi,RU,71.6872,128.8694,50.63,80,72,4.59,broken clouds,2022-07-26 01:18:41
45,Taikang,CN,46.8333,124.4167,79.02,71,67,9.19,broken clouds,2022-07-26 01:18:41
46,Sola,VU,-13.8833,167.55,79.72,78,5,10.49,clear sky,2022-07-26 01:18:42
47,Saint-Philippe,RE,-21.3585,55.7679,65.79,83,58,10.76,light rain,2022-07-26 01:18:42
48,Sao Filipe,CV,14.8961,-24.4956,78.17,88,94,6.51,overcast clouds,2022-07-26 01:18:43
49,Ponta Do Sol,PT,32.6667,-17.1,84.83,43,98,5.91,overcast clouds,2022-07-26 01:13:48
50,Tuktoyaktuk,CA,69.4541,-133.0374,62.6,67,75,19.57,broken clouds,2022-07-26 01:18:43
51,Nicoya,CR,10.1483,-85.452,75.33,85,54,1.23,broken clouds,2022-07-26 01:18:44
52,Saint George,US,37.1041,-113.5841,70.39,88,75,9.22,light rain,2022-07-26 01:18:44
53,Ngerengere,TZ,-6.75,38.1167,66.51,87,66,4.0,broken clouds,2022-07-26 01:18:44
54,Yellowknife,CA,62.456,-114.3525,70.32,37,20,19.57,few clouds,2022-07-26 01:18:45
55,Bredasdorp,ZA,-34.5322,20.0403,46.78,65,0,4.72,clear sky,2022-07-26 01:18:45
56,Rio Branco Do Sul,BR,-25.19,-49.3142,61.12,85,68,2.37,broken clouds,2022-07-26 01:18:46
57,Sitka,US,57.0531,-135.33,57.09,94,100,0.0,mist,2022-07-26 01:16:23
58,East London,ZA,-33.0153,27.9116,55.26,71,0,12.24,clear sky,2022-07-26 01:18:46
59,Burnie,AU,-41.0667,145.9167,52.95,86,83,3.11,broken clouds,2022-07-26 01:18:46
60,Ossora,RU,59.2353,163.0719,62.67,65,96,7.83,overcast clouds,2022-07-26 01:18:47
61,Pankrushikha,RU,53.8319,80.3406,63.84,50,15,6.51,few clouds,2022-07-26 01:18:47
